X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32
9.88%,62102,191024,"$3,200","$3,200","$3,200", 36 months,B,B1,Rockwell Automation Inc.,5 years,RENT,54000,not verified,Apr-10,I am organizing my finances for 2009 and I would like to consolidate all my credit card debt at a better rate than what I am currently paying,debt_consolidation,greekgodadonis,021xx,MA,6.51,0,Jun-06,0,,,7,0,3198,51.10%,11,f
11.14%,65426,232106,"$4,000","$4,000","$3,892", 36 months,B,B1,"Infotrieve, Inc.",< 1 year,MORTGAGE,60000,not verified,Aug-09,"We currently have one car that is 19 years old and one that is 8 years old. The 19 year old car, which is the car my husband drives to his job at a local university, was just given about a month to live by our mechanic. We've gotten an amazing amount of use out of it but we will need to be sure to get a reliable vehicle before that one gives out. We hope to be able to donate it with some life left in it to a local non-profit. That is what we have done in the past with our old cars.  Our mechanic will help us find a used car in great shape for around $10,000. We have saved about half of that but we really need to make a purchase soon. It would be fabulous to get a loan for a lower percentage rate than what our credit union offers. Currently that is probably about 11% for older vehicles.  Thanks for considering us.",car,djp,481xx,MI,11.08,0,Aug-95,0,0,0,14,0,24220,68.60%,33,f
11.34%,65640,234569,"$5,000","$2,650",$495, 36 months,C,C2,kmex/univision,10+ years,MORTGAGE,90000,not verified,May-08,This money would be used to finish a remodeling kitchen project. ,home_improvement,producer46,912xx,CA,17.25,0,May-97,1,0,0,20,0,69909,51.10%,51,f
12.21%,66431,243540,"$2,525","$2,525","$2,375", 36 months,B,B5,Video Monitoring Services,3 years,RENT,27000,not verified,Feb-09,I would like one low monthly interest payment to get rid of debts occurred during years after college. I now have student loans and car paid off and want to focus on this.,debt_consolidation,credit card consolidation,402xx,KY,10,0,Sep-01,1,,,5,0,5630,23%,8,f
13.47%,66749,246329,"$10,625","$10,625","$5,325", 36 months,C,C4,crown cork & seal,10+ years,MORTGAGE,34000,not verified,Dec-08,I would like to pay off all credit cards and revolving account,debt_consolidation,dorf,386xx,MS,22.09,0,Jul-90,2,57,85,5,1,13846,71%,16,f
11.49%,66943,247802,"$2,800","$2,800","$2,700", 60 months,B,B4,The Coggins Co.,< 1 year,RENT,24000,not verified,Aug-10,"I am asking for this loan to consolidate some of my debt and to start a unique website geared to the disabled community. Borrower added on 07/29/10 > I am a disabled father of one boy.  We both live with my parents and with my monthly disability check ,I will easily be able to pay this loan back.<br/>",debt_consolidation,Mark's loan,926xx,CA,4,0,Dec-00,0,,97,7,1,2183,19.50%,23,f
13.24%,66964,247990,"$7,500","$7,500",$986, 36 months,D,D3,Acquity,3 years,MORTGAGE,138000,not verified,Jun-08,"I am a 33yr old married man with a wonderful wife, 2 beautiful children and a good job.  My wife makes sure all bills are always paid on time.  I am originally from India and came to US when I was 17.  I built my American dream through hard work, education and careful planning. Over the last 3 years however, while trying to support my brother and parents during their financial distress, I over extended my own family finances to the point where we are unable to save for our kid's future.  I am wanting to consolidate my very high interest credit cards that I pay on time into some lower interest loans.  We have over 36 accounts on our credit history in great standing and no negative credit.  I just want to get some help with consolidating our credit card debt so we can just get back to normal and save money for our kid's future.  We really need a total of $22,000 to consolidate all liquid debt.  I welcome all inquiries and willing to pay a good interest rate in return. ",debt_consolidation,WantToBeDebtFree,662xx,KS,9.16,1,Aug-96,2,10,,11,0,5122,18.20%,37,f
8.59%,67503,252415,"$10,000","$10,000","$10,000", 36 months,A,A4,Genesys PHO,1 year,MORTGAGE,56000,not verified,Oct-09,"I have a current balance on my Advanta account. My interest rate is 7.99%. If anyone can beat that rate, I am interested in a loan.  252415 added on 10/18/09 > Above account is paid in full. Using this loan to payoff Schwab account balance.",debt_consolidation,lukeanthony85,485xx,MI,15.49,0,Dec-91,0,,,7,0,6068,16.70%,49,f
7.14%,68163,258249,"$3,000","$3,000","$3,000", 36 months,A,A3,Matrix Resources,9 years,MORTGAGE,100000,not verified,Feb-10,"I'm seeking capital for my investment business. I make 3-4%/month return on my assets (since July '08). I'm seeking more capital so that I may reach my goals sooner. This loan will be paid back as soon as possible, probably within one year.  I am a good candidate for this loan because I'm wise with money. I know how to use money to build money. I have a day job as a computer programmer as backup to pay back the debt should something happen with my investments. I have borrowed from p2p sites before and paid back the loans. I believe in this way of helping people out. On top of that I have excellent credit.  Thank you very much for your support.",small_business,Raising Capital,300xx,GA,6.5,1,Feb-98,0,16,,14,0,3021,4.80%,25,f
8.63%,68381,260179,"$6,625","$6,625","$6,475", 36 months,A,A5,Albertsons,< 1 year,RENT,13200,not verified,Mar-08,"Long story short, the end of college and the few months that followed left me using my credit card a little more frequently than I would have liked. I am looking to shed the cards high interest rate so more of my hard earned cash can go towards principal.  ... and now for the long version...  Due to the way the units fell I had to pay for the final semester of college out of pocket. I was going to a private school and the cost per credit was quite high. After graduation I was searching for a job for about a month or so before I had found one. The job I found required me to relocate from California to Texas. The company was supposed to reimburse me for moving expenses however it didn't quite work out that way. After I got there I realized that the company wasn't for me. I also felt that there were too many things left behind back in California that were important to me so I returned home. I've been working a ""transitional"" job for the last few months while searching for another job in my industry. I've recently found a few promising leads and hope they work out the way I think they will.",debt_consolidation,After college credit card pay down,926xx,CA,9.73,0,Dec-03,0,,,3,0,6282,44.60%,9,f
11.03%,68817,264119,"$10,000","$10,000","$2,475", 36 months,C,C1,CAROLINA BROKERAGE CO,10+ years,MORTGAGE,46116,not verified,Mar-08,Want to buy a Harley Davidson Motorcycle,major_purchase,Elaine27376,273xx,NC,13.04,0,Nov-85,1,45,,7,0,5394,53.40%,23,f
,68926,264924,"$2,300","$2,300",$590, 36 months,D,D2,UBS,10+ years,RENT,37152,VERIFIED - income,Aug-08,"I need a loan to cover moving expenses such as buying new furniture, deposit on the apt etc. ",moving,tee_cee,088xx,NJ,2.26,0,Dec-97,0,46,0,4,0,2211,88.40%,13,f
8.94%,69001,265533,"$15,000","$15,000","$14,875", 36 months,A,A5,,< 1 year,MORTGAGE,110000,not verified,Sep-09,Taking advantage of excellent credit to pay off credit card,credit_card,Revolving Debt,146xx,NY,7.07,0,Nov-91,1,0,0,6,0,7586,52.70%,19,f
10.39%,69124,266619,"$18,000","$18,000","$11,636", 36 months,B,B4,Cellnetix Pathology,10+ years,MORTGAGE,36000,not verified,Mar-08,I am looking to consolidate high interest credit cards.,debt_consolidation,cowdollar@hotmail.com,980xx,WA,3.8,0,Aug-00,0,,,2,0,8311,59.80%,9,f
15.13%,69168,266943,"$5,000","$5,000","$4,975", 36 months,E,E4,BJ OIL SERVICE COMPANY,2 years,RENT,60000,VERIFIED - income,Apr-08,Purchasing land for mining purposes in Africa. Land contains precious metal which would be a good investment. Land surveyed and is verified to contain mineral. Need money to complete purchase.,major_purchase,Personal Investment,415xx,KY,2.74,0,Feb-05,3,,,2,0,591,84.40%,6,f
8.00%,69251,267771,"$6,000","$6,000",$500, 36 months,A,A3,,< 1 year,MORTGAGE,75000,not verified,May-08,Looking to pay bills with a lower rate and try a new type of lending.  Please note my perfect credit history and ability to pay the account.  Many Thanks Heather,other,NewOrganic,441xx,OH,16.08,0,Dec-94,1,0,0,16,0,29797,23.20%,39,f
15.33%,69550,270212,"$11,200","$11,200","$11,188", 60 months,D,D3,Witron Intergrated logistics,2 years,RENT,46000,not verified,May-10,Make good money but I would like to pay off and get rid of the high interest credit cards and that evil dell account. Borrower added on 05/15/10 > No Delinquencies.<br/>Have never missed a car payment.<br/> Borrower added on 05/15/10 > Length of Employment: Almost 4 years<br/> Borrower added on 05/28/10 > I am an IT Manager.  I am the only IT Manager at the site so my job is very secure.  Thank you =)<br/>,debt_consolidation,HeliosCantra,850xx,AZ,17.19,0,Oct-05,1,,,7,0,7248,69.20%,11,f
8.63%,69828,272798,"$15,000","$15,000","$13,138", 36 months,A,A5,State of Michigan,10+ years,OWN,50000,not verified,Mar-08,"We have owned and operated a year round greenhouse/nursery, organic food processing operation in the the central Michigan area since 1990.  Last season we had the opportunity to purchase 12,000 square foot of 4 year old greenhouse space, and we are seeking ""investors"" who would be willing to help us with reconstruction costs, so we will have the added greenhouse space for organic, sustainable, local food production. We also intend to make equipment upgrades to our commercial processing kitchen.",other,Business Expansion,488xx,MI,2.59,0,Jun-75,0,0,0,4,0,5656,27.60%,25,f
13.55%,69924,274280,"$10,000","$10,000","$8,790", 36 months,D,D4,GAP,3 years,RENT,100000,not verified,Mar-08,"Hello friends,  I am trying to pay off couple of credit cards which has raised the APR recently, increasing my monthly payments  Thanks Sunny",credit_card,Trying to pay off high interest cards,941xx,CA,7.94,0,Nov-02,0,0,0,11,0,21162,57.70%,14,f
,69990,275254,"$15,500","$15,500","$14,400", 36 months,A,A5,Diageo North America,< 1 year,RENT,125000,not verified,Feb-10,I have two credit cards with high rates that I would like to refinance at a lower rate.  One card is with Citibank the other with American Express. Borrower added on 02/13/10 > I have one credit card with a high rate I want to refinance to a lower rate with American Express.<br/>,credit_card,Debt Consolidation Loan,068xx,CT,7.05,0,Sep-94,1,,,8,0,16931,34.60%,21,f
12.29%,70348,280311,"$9,600","$9,600","$9,265", 36 months,C,C5,City Lights LTD,4 years,RENT,78000,not verified,Mar-08,"i am looking to combined all my credit cards, and outstanding debt to one monthly payment",debt_consolidation,pd.bubba,606xx,IL,8.8,0,Nov-97,0,68,63,5,1,4822,58.10%,27,f
9.01%,76597,76583,"$5,000","$5,000","$1,775", 36 months,B,B2,Ping Interactive,1 year,MORTGAGE,250000,not verified,Jul-07,downpayment on a Pony!,other,..and a Pony,100xx,NY,10,2,Apr-03,0,5,,5,0,14354,36.60%,7,f
7.43%,84918,84914,"$5,000","$5,000","$2,025", 36 months,A,A2,Revere Public Schools,10+ years,MORTGAGE,65000,not verified,Sep-07,I'd like to pay off a car loan.,other,car,024xx,MA,0.28,0,Dec-94,1,,,12,0,1576,5.70%,21,f
13.75%,87023,86999,"$7,500","$7,500",$800, 36 months,E,E2,Evergreen Center,< 1 year,OWN,22000,not verified,Jun-07,"I plan to consolidate over $7,000 of debt: a combination of credit cards and student loans.",debt_consolidation,Consolidation Loan,027xx,MA,14.29,1,Oct-03,0,11,0,7,0,4175,51.50%,8,f
7.43%,88854,70699,"$5,000","$5,000",$225, 36 months,A,A2,Rail Europe Group,4 years,RENT,200000,not verified,Aug-07,,house,Buying a painting,100xx,NY,0.28,0,Mar-95,0,0,0,2,0,3164,13.70%,2,f
7.43%,90376,89243,"$5,000","$5,000",$650, 36 months,A,A2,,< 1 year,MORTGAGE,200000,not verified,Jul-07,,other,JAL Loan,208xx,MD,3.72,0,Nov-88,0,0,0,17,0,85607,0.70%,26,f
8.07%,90395,90390,"$5,000","$5,000","$1,325", 36 months,A,A4,,< 1 year,MORTGAGE,100000,not verified,Jul-07,,debt_consolidation,MBA Loan Consolidation,017xx,MA,2.3,0,Oct-98,0,0,0,11,0,9698,19.40%,20,f
10.28%,90665,90607,"$8,500","$8,500",$875, 36 months,C,C1,"Squarewave Solutions, Ltd.",3 years,RENT,18000,not verified,Jul-07,"The rate of interest and fees incurred by carrying a balance on my credit card are so outrageous at this point that continuing to pay them is patently bad financial thinking.  I wish to redirect my efforts at retiring my debt via another more-reasonable means.    I have sufficient funds to direct to this end on a monthly basis, and have simply gotten tired of their being gobbled up by interest and fees.",credit_card,Retiring credit card debt,274xx,NC,6.4,1,Dec-86,1,5,0,6,0,8847,26.90%,9,f
7.43%,90966,90962,"$5,000","$5,000","$4,150", 36 months,A,A2,Oracle Corporation,8 years,MORTGAGE,150000,not verified,Jul-07,Need short term loan to renovate the kitchen in my 25 year old house to bring it into the 21st century.,home_improvement,New kitchen,303xx,GA,0,0,Dec-87,0,0,0,2,0,6053,19.50%,19,f
8.07%,92187,92174,"$2,500","$2,500","$1,075", 36 months,A,A4,FiSite Research,4 years,MORTGAGE,110000,not verified,Jul-07,Our current gutter system on our home is old and in need of repair.    We will be using the borrowed funds to replace the gutter system on our home.,home_improvement,Home Improvement,802xx,CO,11.33,0,Nov-90,0,0,0,13,0,7274,13.10%,40,f
,92402,92390,"$5,000","$5,000",$700, 36 months,B,B1,"A. F. Wolfers, Inc.",5 years,MORTGAGE,75000,not verified,Jul-07,I'd like to shift some credit card debt so it has a lower interest rate.,credit_card,Reduce Credit Card Debt,804xx,CO,15.55,0,May-94,0,0,0,10,0,66033,23%,29,f
7.43%,92440,92423,"$5,000","$5,000","$3,100", 36 months,A,A2,MetraTech Corp,7 years,MORTGAGE,95000,not verified,Jul-07,I would like to make a mortgage pre-payment in order to own at least 20% of my condo value and stop paying PMI (Private Mortgage Insurance) and lower my monthly mortgage payments. I have a very good credit history.,vacation,Mortgage Pre-Payment,017xx,MA,3.83,0,Jul-00,0,0,0,8,0,3660,6.80%,16,f
7.43%,92507,92502,"$5,000","$5,000",$250, 36 months,A,A2,Rush Univ Med Grp,1 year,OWN,85000,not verified,Jul-07,,credit_card,My Credit Card Loan,537xx,WI,0.31,0,Oct-97,0,0,0,7,0,216,0.60%,19,f
11.22%,92533,92529,"$5,000","$5,000",$675, 36 months,C,C4,Self-Employeed,< 1 year,OWN,80000,not verified,Jul-07,,credit_card,P's Family Credit Loan,537xx,WI,1.21,0,Jul-96,3,0,44,15,1,27185,16.10%,29,f
9.96%,92552,92542,"$5,000","$5,000",$375, 36 months,B,B5,Millenium Group,4 years,MORTGAGE,48000,not verified,Jul-07,I would like to pay off my high-interest credit card debts and have a single payment to make every month,debt_consolidation,Tito5000,333xx,FL,8.03,0,Aug-95,1,0,0,6,0,28329,48.60%,6,f
9.33%,92666,92661,"$5,000","$5,000",$525, 36 months,B,B3,Stark and Roth Inc,2 years,MORTGAGE,180000,not verified,Jul-07,Need a loan to make some home improvments,home_improvement,home improvment loan,530xx,WI,11.93,0,Feb-95,1,0,0,16,0,60568,39.20%,38,f
8.07%,92676,92671,"$5,000","$5,000",$150, 36 months,A,A4,,< 1 year,MORTGAGE,180000,not verified,Jul-07,Need a loan to remodel my kitchen,home_improvement,remodelin my kitchen,530xx,WI,5.55,0,Jun-96,0,0,0,12,0,40934,26.30%,39,f
7.43%,93061,93057,"$5,000","$5,000",$250, 36 months,A,A2,MetraTech,8 years,MORTGAGE,120000,not verified,Jul-07,This is a loan to help pay for other education loans at higher rates,debt_consolidation,My Loan,017xx,MA,2.29,0,Oct-97,0,0,0,8,0,8379,16.90%,16,f
8.70%,93277,93254,"$3,000","$3,000",$950, 36 months,B,B1,,< 1 year,MORTGAGE,25000,not verified,Jul-07,"I started baking rolls and breads for family and friends from my home kitchen for parties and special occasions. People loved my baked goodies so much, that they began ordering on a more regular basis. Recently, I have had to turn down some orders because my little dough maker and conventional oven are not enough.   I plan to use the borrowed money to buy an industrial oven and a bigger dough mixer, which would make my job easier. I foresee these additions would double my production, and my business would really take off.",small_business,Home Based Bakery,017xx,MA,14.54,0,Sep-00,1,0,0,10,0,3660,7.80%,13,f
10.28%,94838,73673,"$3,000","$3,000","$2,550", 36 months,C,C1,Oracle,2 years,MORTGAGE,200000,not verified,Jul-07,"I bought a few months ago a cool duplex in the fast gentrifying Harlem neigborhood in Manhattan.  The apartment comes with a private roofdeck, which I'd like to improve.  Since Summer is here, I would like to do this now... Lending Club sounds like a great way of getting a loan without having to go through a bank, so I'm curious to see what I can get.  I'm highly educated, professionally successful and financially stable, just interested in exploring alternative financing options.",home_improvement,Roofdeck for my new NYC apartment,100xx,NY,0,1,Feb-97,0,19,0,5,0,0,0%,8,f
11.22%,96350,96338,"$5,000","$5,000",$850, 36 months,C,C4,Self-employed,1 year,OWN,30000,not verified,Jul-07,"Bank of America increased my interest rate from 9% to a whopping 29.9% even though I've never had a late payment in the past four years.  Is that even legal?  If I could get a loan at a decent rate, it would help out alot (heck, even 18% is better than 29.9%).",credit_card,Stupid credit cards!,314xx,GA,18.64,0,Apr-93,0,0,0,10,0,15840,47.10%,12,f
8.38%,96844,95222,"$5,300","$5,300",$600, 36 months,A,A5,Peerless Pump Company,7 years,MORTGAGE,74000,not verified,Jul-07,Pay off higher rate credit card debt. It is a fixed rate at 12% and the only card I use.,credit_card,Refinance for better rate,461xx,IN,14.37,0,Feb-92,0,0,0,15,0,6844,14.40%,29,f
7.75%,98276,98268,"$5,400","$5,400",$200, 36 months,A,A3,,< 1 year,RENT,8000,not verified,Jul-07,"The main purpose of this loan is for college expenses, gas, and food. I currently have a part-time job but I am not making enough money to fully cover my college expenses. I am an Accounting major and most of my classes have $100+ worth of books associated with them--even if I buy used. I am just looking for some help, I do not plan to quit working.",educational,Help with college expenses,306xx,GA,3,0,Mar-89,0,0,0,4,0,1321,16.50%,4,f
8.38%,98339,97572,"$5,100","$5,100",$575, 36 months,A,A5,Northwestern School Corporation,4 years,RENT,32000,not verified,Jul-07,I am art educator and would like to use the loan to fund a dream trip to the Louvre.,vacation,Europe,469xx,IN,14.78,0,Jun-95,0,0,0,11,0,4737,23.90%,22,f
9.01%,98982,98957,"$5,000","$5,000",$675, 36 months,B,B2,Viget Labs,1 year,RENT,73000,not verified,Jul-07,To pay off credit card debt.,credit_card,Credit Cards,222xx,VA,9.96,0,Jan-99,0,0,0,21,0,23489,37.60%,28,f
7.43%,99009,98991,"$5,750","$5,750","$3,675", 36 months,A,A2,FDA,10+ years,MORTGAGE,125000,not verified,Jul-07,consolidate debt on several credit cards.,debt_consolidation,consolidate debt,020xx,MA,0.27,0,Jan-87,0,0,0,10,0,2817,10.20%,16,f
7.43%,100214,100208,"$5,000","$5,000","$3,675", 36 months,A,A2,Self-Employed,< 1 year,OWN,45000,not verified,Aug-07,My husband and I would like to remodel our bathroom in the master bedroom.,credit_card,bathroom remodeling,537xx,WI,1.12,0,Aug-91,1,0,0,5,0,1783,0%,11,f
10.28%,101579,100083,"$10,000","$10,000",$400, 36 months,C,C1,RoadNarrows Robotics,< 1 year,RENT,27376,not verified,Jul-07,"Seven months ago I decided to drop everything and work full-time creating a web design business. I racked up debt on my credit cards buying a new computer, laptop, software, etc.... The business is taking off and I'm hiring my first full-time employee this week and will need to purchase another computer system and more software for him . This loan will be for both consolidating my current credit card debts and also enabling me to purchase the equipment I need for my new employee. In addition it will get me through the upcoming transitional/expansion period of already having to much work to do on my own and having to train my new employee to being able to take on more jobs in the next 3-5 weeks. Thank you for considering this loan!",small_business,Web Design Business Expansion Loan,805xx,CO,10.7,0,Sep-03,0,0,0,4,0,3534,54.40%,4,f
10.59%,102376,95212,"$25,000","$25,000",$525, 36 months,C,C2,Institute for Mind/Body Research and Education,2 years,RENT,48000,not verified,Jul-07,"In 2005, I came to Uganda on a Fulbright to do HIV research.  I finished my project, went home, and decided to come back to build a recycling plant here, to kinda save Uganda from itself (garbage is a major problem here).  So far, I've spent about $65,000 of my own money to buy machinery (from Taiwan), rent a factory site, and pay salaries for six workers, but would like to borrow $25,000 more for renovations to improve production capacity.  (Namely, new roof, new concrete floor, new doors--to prevent stealing, and two locking shipping containers to store recycled material before it's sold.)",small_business,Recycling Plant in East Africa,113xx,NY,4.05,0,Jan-00,0,0,0,5,0,2422,23.30%,12,f
9.96%,106079,106039,"$3,500","$3,500","$1,200", 36 months,B,B5,UNIQUE ID WEB DESIGN,< 1 year,RENT,13500,not verified,Jul-07,"Hello, thanks for taking the time to review my loan request! I am a student (senior standing) in Southwest Florida who is looking for a loan to supplement what my federal loans could not. I have a good credit score and have been working on it for 5 years now.   I will use this money to assist in paying my rent, books, and other tuition expenses. I have a part time job and my federal loans to take care of the rest. I will not be spending any loaned money on materials that are not directly related to my education or means of living.",educational,Starving student needs means of living.,339xx,FL,16.44,0,Dec-02,1,0,0,10,0,2864,41.10%,16,f
,106360,106333,"$2,700","$2,700",$550, 36 months,F,F4,Turner Construction,1 year,RENT,52200,not verified,Jul-07,looking to consolidate debt,debt_consolidation,Consolidation,021xx,MA,12.57,0,Aug-03,1,0,0,12,0,3075,92.30%,13,f
,107136,107130,"$12,250","$12,250","$1,525", 36 months,C,C2,Zensah Company,3 years,RENT,60000,not verified,Jul-07,"Zensah Performance Apparel is a start-up, and we are now seeking to expand our product line as we enter the midwya point in our 3rd year! We currently sell through our website at www.zensah.com and directly to professional teams. Type ZENSAH in YOU TUBE, and you will see one of the most famous athletes in the world who sports ZENSAH!  Zensah has create a proprietary moisture wicking fabric that doesn't carry odor and is not coarse. Unlike Under Armour and Nike you won't chafe with our fabric.  We want to try Lending Club even though we are well capitalized. If this works out we thinks it could be a great way to allow our fans helps us grow even more!  I encourage you to visit our website to learn more.  Thanks for your interest.  TEAM ZENSAH",small_business,Invest in Zensah Inventory,330xx,FL,17.12,1,Feb-69,2,19,0,10,0,17214,8.10%,24,f
11.54%,109355,109346,"$1,200","$1,200",$0, 36 months,C,C5,Eastland Park Hotel,< 1 year,RENT,20000,not verified,Jul-07,"I've had far too many issues with Bank of America and their policies, and would like to clear my high interest debt with them so I can more easily move my finances over to a local bank that actually cares about its customers and community.  I'm also a big fan of the idea of Lending Club and would definitely like to participate as a lender in the future.  I think community based projects such as this are really the future, and a great way to help fellow people, rather than corporations.  I've got a steady job and am in no way in financial woes, but it would be nice to clear this debt as soon as possible, which is why I'm requesting this loan.",credit_card,Bank of America- Blah!,041xx,ME,2.04,0,May-04,2,24,0,3,0,1153,75.80%,4,f
13.43%,111227,111223,"$20,000","$20,000","$2,800", 36 months,E,E1,Auto motors of miami,6 years,MORTGAGE,145000,not verified,Aug-07,refinancing,credit_card,refinancing,331xx,FL,10.15,0,Jan-96,0,,,17,0,41674,74.10%,26,f
12.49%,111307,105982,"$12,000","$12,000","$2,500", 36 months,D,D3,ISO MERCHANT SERVICES,9 years,OWN,75000,not verified,Aug-07,refinancing,credit_card,refinancing credit cards,334xx,FL,15,0,Apr-95,3,78,0,9,0,43039,93.40%,24,f
9.64%,111917,111912,"$6,400","$6,400","$4,075", 36 months,B,B4,"Stratagem, Inc.",1 year,RENT,60000,not verified,Aug-07,"I just landed a great Java development job in Denver.  The salary and benefits are solid, but they won't cover my moving expenses.  I am moving my wife and two kids.  We need about $6,000 to cover a U-Haul, gas, miscellaneous moving expenses, and a deposit on a new apartment.",moving,Moving from Madison to Dener for new job,535xx,WI,7.72,0,Apr-01,0,,,7,0,3362,69.30%,8,f
11.86%,112216,106279,"$12,000","$12,000","$1,025", 36 months,D,D1,Panavision International,1 year,RENT,65000,not verified,Aug-07,This will help me straighten out my financial situation following an illness and death in the family that caused great hardship.,debt_consolidation,I need a little help,112xx,NY,7.14,2,Aug-83,0,2,0,6,0,11868,71.90%,23,f
